          column_name  column_type
 bbands_middle_10_2d5       DOUBLE
 bbands_middle_20_2d5       DOUBLE
   bbands_upper_5_1d5       DOUBLE
  bbands_upper_10_1d5       DOUBLE
  bbands_upper_20_1d5       DOUBLE
     bbands_upper_5_2       DOUBLE
    bbands_upper_10_2       DOUBLE
    bbands_upper_20_2       DOUBLE
   bbands_upper_5_2d5       DOUBLE
  bbands_upper_10_2d5       DOUBLE
  bbands_upper_20_2d5       DOUBLE
   bbands_lower_5_1d5       DOUBLE
  bbands_lower_10_1d5       DOUBLE
  bbands_lower_20_1d5       DOUBLE
     bbands_lower_5_2       DOUBLE
    bbands_lower_10_2       DOUBLE
    bbands_lower_20_2       DOUBLE
   bbands_lower_5_2d5       DOUBLE
  bbands_lower_10_2d5       DOUBLE
  bbands_lower_20_2d5       DOUBLE
             trix_5_3       DOUBLE
             trix_7_4       DOUBLE
            trix_12_9       DOUBLE
           trix_20_12       DOUBLE
           trix_60_20       DOUBLE
                cci_5       DOUBLE
               cci_14       DOUBLE
               cci_20       DOUBLE
               cci_30       DOUBLE
               cci_60       DOUBLE
              cci_120       DOUBLE
                  obv       DOUBLE
              maobv_6       DOUBLE
             maobv_14       DOUBLE
             maobv_20       DOUBLE
             maobv_30       DOUBLE
             maobv_60       DOUBLE
                atr_6       DOUBLE
               atr_14       DOUBLE
               atr_20       DOUBLE
               atr_30       DOUBLE
               atr_60       DOUBLE
        sw2021_level1      VARCHAR
        sw2021_level2      VARCHAR
        sw2021_level3      VARCHAR
        sw2014_level1      VARCHAR
        sw2014_level2      VARCHAR
        sw2014_level3      VARCHAR
            cs_level1      VARCHAR
            cs_level2      VARCHAR
            cs_level3      VARCHAR
   sw2021_level1_name      VARCHAR
   sw2021_level2_name      VARCHAR
   sw2021_level3_name      VARCHAR
   sw2014_level1_name      VARCHAR
   sw2014_level2_name      VARCHAR
   sw2014_level3_name      VARCHAR
       cs_level1_name      VARCHAR
       cs_level2_name      VARCHAR
       cs_level3_name      VARCHAR
